season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2025,Abdul Samad,Lucknow Super Giants,87,50,174.0,4,8,24.0,15,30.0,0.16563951148510056,0.37355331983433315,0.3693616123262457,0.5117620900626279,0.21609750959110396,0.2958227726930972,middle,Abdul Samad,2025,44079000.00000001,0.6711195188028248
2025,KL Rahul,Delhi Capitals,271,172,157.56,21,11,18.6,35,20.35,0.5106335111597129,0.30440326265522677,0.27631786911535816,0.3217057839110748,0.49075020476519504,0.5704754678671883,middle,KL Rahul,2025,146930000.0,0.3882634369204303
2025,RD Rickelton,Mumbai Indians,64,42,152.38,5,4,21.43,14,33.33,0.12251526152577402,0.28261510595280753,0.32507968268698995,0.5773462869004176,0.13234342016377598,0.21206868326576925,middle,RD Rickelton,2025,10495000.000000002,2.0206639663246233
2022,N Rana,Kolkata Knight Riders,221,142,155.63,14,14,19.72,40,28.17,0.4504508285883832,0.3480474340403083,0.34109745151327364,0.39960127238608256,0.4530741289082373,0.5327993920102305,middle,N Rana,2022,99502276.06400001,0.5354645271305485
2022,N Pooran,Sunrisers Hyderabad,197,145,135.86,8,13,14.48,41,28.28,0.3996994471982469,0.28272331348549845,0.26435485641488626,0.4016884523089303,0.37710983262543823,0.45683509572743153,middle,N Pooran,2022,133706183.46100001,0.34167088155700975
2019,CA Ingram,Delhi Capitals,122,107,114.02,13,3,14.95,45,42.06,0.2077645715310206,0.18757794461950775,0.2856951649179627,0.6988169877172851,0.13986067605080432,0.2195859391527976,middle,CA Ingram,2019,92432163.392,0.23756442681271564
2018,YK Pathan,Sunrisers Hyderabad,107,100,107.0,9,3,12.0,40,40.0,0.2035335564928826,0.14170486418564507,0.21934650311193318,0.6689154909728857,0.11542450687780911,0.19514976997980238,middle,YK Pathan,2018,28354577.097,0.6882478596390345
2016,KK Nair,Delhi Capitals,171,149,114.77,16,1,11.41,41,27.52,0.36215761165440324,0.20975819743494803,0.229770684658852,0.42291803434310227,0.314024078617157,0.3937493417191502,middle,KK Nair,2016,65455455.996,0.6015531260575319
2021,MM Ali,Chennai Super Kings,224,160,140.0,16,12,17.5,56,35.0,0.5232855472004591,0.3301788893322253,0.35342304074696923,0.5376227831793247,0.48084215607356373,0.560567419175557,middle,MM Ali,2021,92828160.90100001,0.6038764678031213
2024,PJ Cummins,Sunrisers Hyderabad,47,32,146.88,3,3,18.75,10,31.25,0.09161230370279251,0.27252758114553416,0.29814792694299846,0.5393210742567913,0.10681348784313566,0.18653875094512892,middle,PJ Cummins,2024,227303333.75,0.08206599871090933
2015,SN Khan,Royal Challengers Bengaluru,47,34,138.24,4,1,14.71,9,26.47,0.05566956387667934,0.3081461998545199,0.2767313488375692,0.36149630963549134,0.12002651889811501,0.1997517820001083,middle,SN Khan,2015,8727666.863499999,2.288719140226248
2018,DL Chahar,Chennai Super Kings,49,26,188.46,1,4,19.23,4,15.38,0.09667910800357327,0.5204306752535885,0.35217805930521423,0.16248645476423998,0.27141080988713007,0.3511360729891233,middle,DL Chahar,2018,11938769.304,2.941141285571853
2025,Washington Sundar,Gujarat Titans,76,50,152.0,7,3,20.0,13,26.0,0.14501487020020526,0.2810167469669158,0.3004403210589216,0.43298227404125866,0.17380852965377153,0.2535337927557648,middle,Washington Sundar,2025,33584000.0,0.7549243471765269
2013,AM Nayar,Lucknow Super Giants,44,45,97.78,3,0,6.67,13,28.89,0.08594546768891105,0.16769242799256598,0.15276116011982507,0.3801919117212323,0.07357795222861717,0.15330321533061042,middle,AM Nayar,2013,83114359.61769001,0.1844485309587604
2020,PJ Cummins,Kolkata Knight Riders,48,62,77.42,3,1,6.45,34,54.84,0.08213071133835063,0.039368447346136946,0.13752240100405863,0.904643904169788,-0.0759091973586243,0.003816065743368971,middle,PJ Cummins,2020,215352713.5215,0.0017720072716836185
2019,N Pooran,Punjab Kings,120,67,179.1,7,12,28.36,27,40.3,0.20222418295686,0.5164860241704262,0.5611180284665981,0.6641072063762271,0.2961273180346901,0.3758525811366834,middle,N Pooran,2019,60658607.226,0.6196195368224384
2014,KD Karthik,Delhi Capitals,224,172,130.23,16,9,14.53,51,29.65,0.4320382816594241,0.2879206669682797,0.2962462622586272,0.43046909706436304,0.40516225845687603,0.48488752155886927,middle,KD Karthik,2014,242127297.96249998,0.2002614020142278
2025,JP Inglis,Punjab Kings,107,63,169.84,10,5,23.81,14,22.22,0.20313885927581932,0.356055495146676,0.3660878509910478,0.35853534790106484,0.2708382365826548,0.35056349968464806,middle,JP Inglis,2025,27287000.000000004,1.2847271582975335
2018,SR Watson,Chennai Super Kings,221,110,200.91,17,14,28.18,16,14.55,0.4135578173166975,0.5783135177259171,0.5166099303881833,0.1454135018782458,0.5785795948731206,0.6583048579751138,middle,SR Watson,2018,59693846.519999996,1.1028018738155088
2013,DJG Sammy,Sunrisers Hyderabad,107,93,115.05,5,6,11.83,34,36.56,0.22264086430236252,0.26454699780144497,0.27281620138174545,0.5426976364562021,0.2035005037674322,0.28322576686942547,middle,DJG Sammy,2013,52331263.46299,0.5412171389091913
2023,SM Curran,Punjab Kings,140,125,112.0,10,4,11.2,47,37.6,0.27010881666551656,0.14230636896664745,0.17576845133407412,0.6510148651010097,0.16372968126902038,0.24345494437101364,middle,SM Curran,2023,218870934.4755,0.11123219487979366
