season,player,team,phase,adj_price,ROI_z,impact_score_pos
2016,R Sathish,Kolkata Knight Riders,bowl_mid,3272772.8,0.234091175,0.770554773
2025,K Khejroliya,Gujarat Titans,bowl_pp,3148500,0.232726636,0.744191214
2025,KV Sharma,Mumbai Indians,bowl_mid,5247500,0.232575457,1.227492779
2025,K Khejroliya,Gujarat Titans,bowl_mid,3148500,0.230668753,0.730457718
2018,MK Lomror,Rajasthan Royals,bowl_mid,2984692.326,0.228183614,0.684993798
2014,S Rana,Royal Challengers Bengaluru,bat_death,3874036.767,0.22802977,0.465008446
2022,AS Roy,Kolkata Knight Riders,bowl_pp,2487556.902,0.227727791,0.57533899
2024,RK Singh,Kolkata Knight Riders,bat_mid,2217593.5,0.227338998,0.205639039
2025,M Shahrukh Khan,Gujarat Titans,bowl_mid,3148500,0.226106974,0.716011954
2020,Abdul Samad,Sunrisers Hyderabad,bowl_death,2778744.691,0.22582188,0.236618712
2017,JD Unadkat,Lucknow Super Giants,bowl_mid,4679400.629,0.225027105,1.059077347
2024,Naman Dhir,Mumbai Indians,bat_pp,2217593.5,0.224958278,0.381606719
2025,Abhishek Sharma,Sunrisers Hyderabad,bowl_mid,3148500,0.22439375,0.710586694
2025,V Nigam,Delhi Capitals,bowl_pp,5247500,0.224342231,1.195633929
2018,B Laughlin,Rajasthan Royals,bowl_death,7461730.815,0.222094475,0.624931506
2019,Rasikh Salam,Mumbai Indians,bowl_pp,2888505.106,0.222071003,0.651477983
2017,Mohammad Nabi,Sunrisers Hyderabad,bowl_mid,4679400.629,0.221497039,1.042463289
2025,Prince Yadav,Lucknow Super Giants,bowl_pp,3148500,0.220262394,0.704334241
2015,MJ McClenaghan,Mumbai Indians,bowl_mid,5236600.118,0.219583699,1.156517276
2025,I Sharma,Gujarat Titans,bowl_death,7871250,0.218997025,0.650061908
2022,RK Singh,Kolkata Knight Riders,bat_death,6840781.479,0.218781602,0.788202046
2022,D Pretorius,Chennai Super Kings,bowl_death,6218892.254,0.218390748,0.51218115
2018,HV Patel,Delhi Capitals,bowl_pp,2984692.326,0.213500458,0.647191985
2021,KS Bharat,Royal Challengers Bengaluru,bat_pp,2652233.169,0.21322825,0.432798943
2023,I Sharma,Delhi Capitals,bowl_pp,5915430.661,0.21277643,1.27833487
2016,PV Tambe,Gujarat Titans,bowl_pp,3272772.8,0.212671414,0.706902839
2017,P Negi,Royal Challengers Bengaluru,bowl_death,15598002.1,0.212571164,1.250502328
2024,Arshad Khan,Lucknow Super Giants,bowl_mid,2217593.5,0.211567742,0.471882648
2016,SM Boland,Lucknow Super Giants,bowl_death,8181932,0.211014162,0.651160878
2022,TU Deshpande,Chennai Super Kings,bowl_pp,2487556.902,0.210956904,0.532968468
2025,AS Roy,Kolkata Knight Riders,bowl_mid,4198000,0.208255433,0.879308743
2020,CJ Green,Kolkata Knight Riders,bowl_pp,2778744.691,0.206926897,0.583983183
2023,AM Rahane,Chennai Super Kings,bat_pp,5915430.661,0.205064164,0.928659999
2024,T Stubbs,Delhi Capitals,bowl_mid,5543983.75,0.204989799,1.143027856
2018,S Gopal,Rajasthan Royals,bowl_pp,2984692.326,0.202267809,0.613142032
2015,DJ Muthuswami,Delhi Capitals,bowl_death,13091500.3,0.202044242,0.997735038
2022,Lalit Yadav,Delhi Capitals,bowl_death,8084559.93,0.201859481,0.615582297
2014,S Rana,Royal Challengers Bengaluru,bowl_mid,3874036.767,0.200569027,0.78150223
2023,PN Mankad,Lucknow Super Giants,bat_pp,2366172.265,0.199279592,0.361080567
2025,V Nigam,Delhi Capitals,bowl_mid,5247500,0.199266766,1.051695305
2014,HV Patel,Royal Challengers Bengaluru,bowl_death,7748073.535,0.197526384,0.577337336
2017,R Tewatia,Punjab Kings,bowl_pp,3899500.524,0.196385197,0.777772316
2018,MA Agarwal,Punjab Kings,bat_pp,2984692.326,0.196043433,0.44813998
2020,JR Philippe,Royal Challengers Bengaluru,bat_pp,2778744.691,0.195696583,0.416486579
2024,Rasikh Salam,Delhi Capitals,bowl_pp,2217593.5,0.195631787,0.440611787
2015,MJ McClenaghan,Mumbai Indians,bowl_pp,5236600.118,0.193485345,1.029039956
2017,MJ Henry,Punjab Kings,bowl_death,7799001.048,0.192850759,0.567420792
2025,PVSN Raju,Mumbai Indians,bowl_mid,3148500,0.192026229,0.608088607
2017,Basil Thampi,Gujarat Titans,bowl_death,13258301.78,0.19167742,0.958765932
2025,Suryansh Shedge,Punjab Kings,bowl_mid,3148500,0.191301533,0.605793716
2022,Abhishek Sharma,Sunrisers Hyderabad,bat_pp,6840781.479,0.190288351,0.997250567
2022,R Dhawan,Punjab Kings,bowl_death,6840781.479,0.190000599,0.49037376
2023,KM Asif,Rajasthan Royals,bowl_pp,3549258.397,0.189911592,0.684579424
2023,Yash Thakur,Lucknow Super Giants,bowl_mid,5323887.595,0.189081348,1.012465385
2016,JO Holder,Kolkata Knight Riders,bowl_death,11454704.8,0.188748606,0.815725227
2025,Abhishek Sharma,Sunrisers Hyderabad,bowl_pp,3148500,0.188662875,0.60328829
2014,CM Gautam,Mumbai Indians,bat_pp,3874036.767,0.187972744,0.557952524
2021,Jalaj S Saxena,Punjab Kings,bowl_mid,3978349.753,0.187749246,0.75124878
2025,Zeeshan Ansari,Sunrisers Hyderabad,bowl_death,4198000,0.186994369,0.296183606
2023,A Mishra,Lucknow Super Giants,bowl_mid,5915430.661,0.18689935,1.111979485
2023,JD Unadkat,Lucknow Super Giants,bowl_death,5915430.661,0.186313195,0.415839241
2021,M Jansen,Mumbai Indians,bowl_pp,2652233.169,0.185594979,0.499934
2014,AR Patel,Punjab Kings,bowl_death,14527637.88,0.185517541,1.016908482
2023,K Khejroliya,Kolkata Knight Riders,bowl_pp,2366172.265,0.185389366,0.44551869
2022,RP Meredith,Mumbai Indians,bowl_death,12437784.51,0.184944582,0.867942927
