Unnamed: 0,id,name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,inflation,adj_price
13,827,NM Coulter-Nile,australia,35.0,,bowler,right-handed-bat,right-arm-fast,4,150,13.64,125.0,0,10,10,6,82,6.83,113.89,0,7,4,34,8.27,23.59,17.12,48,7.7,22.92,17.85,Rajasthan Royals,2022,20000000,1.183086132,23661722.65
181,688,RV Uthappa,india,37.0,,wk-batsman,right-handed-bat,right-arm-medium,2,249,24.9,118.01,1,26,6,17,4952,27.51,130.36,27,481,182,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Chennai Super Kings,2022,20000000,1.183086132,23661722.65
195,750,UT Yadav,india,35.0,,bowler,right-handed-bat,right-arm-fast,1,22,22.0,104.77,0,2,0,31,208,9.9,103.49,0,16,9,12,9.33,23.33,15.0,144,8.49,29.98,21.18,Kolkata Knight Riders,2022,20000000,1.183086132,23661722.65
386,715,KS Bharat,india,29.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,2,199,28.43,122.09,1,12,8,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Delhi Capitals,2022,20000000,1.183086132,23661722.65
442,749,SW Billings,england,31.0,,wk-batsman,right-handed-bat,,5,478,17.07,129.9,2,41,16,1,503,19.35,129.64,3,40,20,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Kolkata Knight Riders,2022,20000000,1.183086132,23661722.65
528,709,Mujeeb Ur Rahman,bangladesh,27.0,,bowler,left-handed-bat,left-arm-fast-medium,13,87,4.58,74.36,0,3,5,8,13,13.0,56.53,0,0,1,132,7.52,21.62,17.26,61,8.14,28.89,21.28,Delhi Capitals,2022,20000000,1.183086132,23661722.65
545,729,JJ Roy,england,32.0,,batsman,right-handed-bat,,0,1522,23.78,137.62,8,153,69,2,614,32.32,138.61,4,75,21,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Gujarat Titans,2022,20000000,1.183086132,23661722.65
673,774,E Lewis,west indies,31.0,,batsman,left-handed-bat,,3,1643,28.82,151.99,12,125,124,2,654,27.25,137.11,4,62,36,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Lucknow Super Giants,2022,20000000,1.183086132,23661722.65
694,771,PVD Chameera,sri lanka,30.0,,bowler,right-handed-bat,right-arm-fast,13,101,6.73,89.39,0,9,1,4,43,10.75,153.58,0,3,3,55,8.09,28.87,21.42,9,9.19,48.0,31.33,Lucknow Super Giants,2022,20000000,1.183086132,23661722.65
823,814,VG Arora,india,25.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,6,9,4.5,56.25,0,0,0,0,0.0,0.0,0.0,19,9.18,30.84,20.16,Punjab Kings,2022,20000000,1.183086132,23661722.65
845,711,Kuldeep Yadav,india,28.0,,bowler,left-handed-bat,left-arm-wrist-spin,3,46,11.5,77.97,0,2,0,21,183,15.25,84.73,0,16,3,69,6.77,14.07,12.46,87,8.21,27.45,20.07,Delhi Capitals,2022,20000000,1.183086132,23661722.65
898,809,RA Bawa,india,20.0,,batting-allrounder,left-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,11,5.5,78.58,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Punjab Kings,2022,20000000,1.183086132,23661722.65
923,855,DJ Willey,england,32.0,,bowling-allrounder,left-handed-bat,left-arm-fast-medium,11,226,15.07,130.64,0,15,13,3,53,26.5,85.49,0,7,0,51,8.18,23.14,16.96,6,7.56,45.33,36.0,Royal Challengers Bengaluru,2022,20000000,1.183086132,23661722.65
