id,name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price
219,DJG Sammy,west indies,32.0,,batting-allrounder,right-handed-bat,right-arm-medium,18,587,17.26,147.49,0,45,31,5,295,19.67,122.41,1,15,18,44,7.31,25.36,20.82,11,8.9,31.82,21.45,Royal Challengers Bengaluru,2015,28000000
156,DJG Sammy,west indies,31.0,,batting-allrounder,right-handed-bat,right-arm-medium,18,587,17.26,147.49,0,45,31,5,295,19.67,122.41,1,15,18,44,7.31,25.36,20.82,11,8.9,31.82,21.45,Sunrisers Hyderabad,2014,35000000
30,DJG Sammy,west indies,30.0,,batting-allrounder,right-handed-bat,right-arm-medium,18,587,17.26,147.49,0,45,31,5,295,19.67,122.41,1,15,18,44,7.31,25.36,20.82,11,8.9,31.82,21.45,Sunrisers Hyderabad,2013,24650000
31,Kartik Tyagi,india,26.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,2,3,3.0,75.0,0,0,0,0,10.5,0.0,0.0,6,8.47,49.17,34.83,Sunrisers Hyderabad,2013,5800000
33,BB McCullum,new zealand,33.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,15,299,11.5,100.68,0,19,8,1,26,26.0,118.19,0,0,1,58,6.83,22.03,19.36,0,6.8,0.0,0.0,Sunrisers Hyderabad,2013,5800000
1073,Q de Kock,south africa,33.0,,wk-batsman,left-handed-bat,,9,2584,31.51,138.33,16,264,103,6,3157,31.26,134.23,23,316,123,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Kolkata Knight Riders,2025,36000000
766,Q de Kock,south africa,30.0,,wk-batsman,left-handed-bat,,9,2584,31.51,138.33,16,264,103,6,3157,31.26,134.23,23,316,123,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Lucknow Super Giants,2022,67500000
498,Q de Kock,south africa,26.0,,wk-batsman,left-handed-bat,,9,2584,31.51,138.33,16,264,103,6,3157,31.26,134.23,23,316,123,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Royal Challengers Bengaluru,2018,28000000
54,Q de Kock,south africa,22.0,,wk-batsman,left-handed-bat,,9,2584,31.51,138.33,16,264,103,6,3157,31.26,134.23,23,316,123,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Delhi Capitals,2014,35000000
34,Q de Kock,south africa,21.0,,wk-batsman,left-handed-bat,,9,2584,31.51,138.33,16,264,103,6,3157,31.26,134.23,23,316,123,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Sunrisers Hyderabad,2013,1160000
1041,F du Plessis,south africa,41.0,,batsman,right-handed-bat,right-arm-legbreak,7,1528,35.53,134.39,10,140,50,11,4571,35.99,136.37,37,421,166,0,2.25,0.0,0.0,0,16.0,0.0,0.0,Delhi Capitals,2025,20000000
838,F du Plessis,south africa,38.0,,batsman,right-handed-bat,right-arm-legbreak,7,1528,35.53,134.39,10,140,50,11,4571,35.99,136.37,37,421,166,0,2.25,0.0,0.0,0,16.0,0.0,0.0,Royal Challengers Bengaluru,2022,70000000
387,F du Plessis,south africa,34.0,,batsman,right-handed-bat,right-arm-legbreak,7,1528,35.53,134.39,10,140,50,11,4571,35.99,136.37,37,421,166,0,2.25,0.0,0.0,0,16.0,0.0,0.0,Chennai Super Kings,2018,16000000
35,F du Plessis,south africa,30.0,,batsman,right-handed-bat,right-arm-legbreak,7,1528,35.53,134.39,10,140,50,11,4571,35.99,136.37,37,421,166,0,2.25,0.0,0.0,0,16.0,0.0,0.0,Chennai Super Kings,2014,47500000
251,DR Smith,west indies,33.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,582,18.19,122.27,3,62,31,5,2385,28.39,135.21,17,245,117,7,8.96,30.29,20.29,26,9.02,31.15,20.73,Gujarat Titans,2016,23000000
841,KD Karthik,india,37.0,,wk-batsman,right-handed-bat,,22,686,26.38,142.62,1,71,28,50,4842,26.32,135.37,22,466,161,0,18.0,0.0,0.0,0,0.0,0.0,0.0,Royal Challengers Bengaluru,2022,55000000
36,DR Smith,west indies,31.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,582,18.19,122.27,3,62,31,5,2385,28.39,135.21,17,245,117,7,8.96,30.29,20.29,26,9.02,31.15,20.73,Chennai Super Kings,2014,45000000
317,A Nehra,india,37.0,,bowler,right-handed-bat,left-arm-fast-medium,0,28,5.6,71.8,0,1,2,15,41,5.86,66.13,0,3,1,34,7.73,22.29,17.29,106,7.85,23.54,18.0,Sunrisers Hyderabad,2016,55000000
37,A Nehra,india,35.0,,bowler,right-handed-bat,left-arm-fast-medium,0,28,5.6,71.8,0,1,2,15,41,5.86,66.13,0,3,1,34,7.73,22.29,17.29,106,7.85,23.54,18.0,Chennai Super Kings,2014,20000000
1040,MM Sharma,india,37.0,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,14,124,7.29,93.24,0,8,4,6,8.04,30.83,23.0,132,8.67,24.67,17.07,Delhi Capitals,2025,22000000
888,MM Sharma,india,35.0,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,14,124,7.29,93.24,0,8,4,6,8.04,30.83,23.0,132,8.67,24.67,17.07,Gujarat Titans,2023,5000000
591,MM Sharma,india,32.0,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,14,124,7.29,93.24,0,8,4,6,8.04,30.83,23.0,132,8.67,24.67,17.07,Delhi Capitals,2020,5000000
529,MM Sharma,india,31.0,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,14,124,7.29,93.24,0,8,4,6,8.04,30.83,23.0,132,8.67,24.67,17.07,Chennai Super Kings,2019,50000000
427,MM Sharma,india,30.0,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,14,124,7.29,93.24,0,8,4,6,8.04,30.83,23.0,132,8.67,24.67,17.07,Punjab Kings,2018,24000000
