name,matched_name
dwaine pretorius,D Pretorius
mitchell santner,MJ Santner
adam milne,AF Milne
mukesh choudhary,Mukesh Choudhary
prashant solanki,PH Solanki
bhagath varma,Tilak Varma
david warner,DA Warner
mitchell marsh,MR Marsh
mustafizur rahman,Mujeeb Ur Rahman
shardul thakur,SN Thakur
kuldeep yadav,Kuldeep Yadav
sarfaraz khan,SN Khan
kamlesh nagarkoti,KL Nagarkoti
srikar bharat,KS Bharat
mandeep singh,Mandeep Singh
khaleel ahmed,KK Ahmed
lungi ngidi,L Ngidi
chetan sakariya,C Sakariya
yash dhull,YV Dhull
ripal patel,RV Patel
lalit yadav,Lalit Yadav
rovman powell,R Powell
tim seifert,TL Seifert
praveen dubey,P Dubey
mohammed shami,Mohammed Shami
david miller,DA Miller
jason roy,JJ Roy
wriddhiman saha,WP Saha
matthew wade,MS Wade
lockie ferguson,LH Ferguson
abhinav manohar,A Manohar
rahul tewatia,R Tewatia
ravisrinivasan sai kishore,R Sai Kishore
vijay shankar,V Shankar
jayant yadav,J Yadav
darshan nalkande,DG Nalkande
yash dayal,Yash Dayal
sai sudharsan,B Sai Sudharsan
alzarri joseph,AS Joseph
varun aaron,VR Aaron
pradeep sangwan,PJ Sangwan
pat cummins,PJ Cummins
mohammad nabi,Mohammad Nabi
nitish rana,N Rana
sam billings,SW Billings
umesh yadav,UT Yadav
shivam mavi,Shivam Mavi
sheldon jackson,SP Jackson
ajinkya rahane,AM Rahane
rinku singh,RK Singh
anukul roy,AS Roy
alex hales,AD Hales
rasikh dar salam,Rasikh Salam
tim southee,TG Southee
baba indrajith,B Indrajith
abhijeet tomar,A Tomar
aman hakim khan,Arshad Khan
ramesh kumar,R Vinay Kumar
pratham singh,P Simran Singh
ashok sharma,Abhishek Sharma
quinton de kock,Q de Kock
krunal pandya,KH Pandya
avesh khan,Arshad Khan
ankit singh,Arshdeep Singh
krishnappa gowtham,K Gowtham
dushmantha chameera,PVD Chameera
shahbaz nadeem,S Nadeem
manan vohra,M Vohra
evin lewis,E Lewis
mohsin khan,M Shahrukh Khan
mayank yadav,MP Yadav
ayush badoni,A Badoni
kyle mayers,KR Mayers
karn sharma,KV Sharma
jason holder,JO Holder
ishan kishan,Ishan Kishan
dewald brevis,D Brevis
anmolpreet singh,Arshdeep Singh
basil thampi,Basil Thampi
murugan ashwin,M Ashwin
jaydev unadkat,JD Unadkat
mayank markande,M Markande
sanjay yadav,SA Yadav
daniel sams,DR Sams
tymal mills,TS Mills
tim david,TH David
ramandeep singh,RK Singh
fabian allen,FA Allen
riley meredith,RP Meredith
hrithik shokeen,HR Shokeen
arshad khan,Arshad Khan
arjun tendulkar,Arjun Tendulkar
kagiso rabada,K Rabada
jonny bairstow,JM Bairstow
rahul chahar,RD Chahar
shahrukh khan,SN Khan
jitesh sharma,JM Sharma
ishan porel,IC Porel
liam livingstone,LS Livingstone
odean smith,OF Smith
sandeep sharma,Sandeep Sharma
raj bawa,RA Bawa
rishi dhawan,R Dhawan
nathan ellis,NT Ellis
prerak mankad,PN Mankad
atharva taide,Atharva Taide
vaibhav arora,VG Arora
bhanuka rajapaksa,PBB Rajapaksa
ansh patel,AR Patel
ravichandran ashwin,R Ashwin
shimron hetmyer,SO Hetmyer
devdutt padikkal,D Padikkal
prasidh krishna,M Prasidh Krishna
yuzvendra chahal,YS Chahal
riyan parag,R Parag
kc cariappa,KC Cariappa
james neesham,JDS Neesham
nathan coulter-nile,NM Coulter-Nile
navdeep saini,NA Saini
karun nair,KK Nair
rassie van der dussen,HE van der Dussen
daryl mitchell,DJ Mitchell
obed mccoy,OC McCoy
dhruv jurel,Dhruv Jurel
tejas baroka,Tejas Baroka
kuldeep yadav,Kuldeep Yadav
anunay singh,Arshdeep Singh
faf du plessis,F du Plessis
wanindu hasaranga,PWH de Silva
harshal patel,HV Patel
josh hazlewood,JR Hazlewood
shahbaz ahmed,Shahbaz Ahmed
anuj rawat,Anuj Rawat
akash deep,Akash Deep
karn sharma,KV Sharma
mahipal lomror,MK Lomror
sherfane rutherford,SE Rutherford
jason behrendorff,JP Behrendorff
siddarth kaul,S Kaul
suyash prabhudessai,SS Prabhudessai
aneeshwar gautam,CM Gautam
david willey,DJ Willey
washington sundar,Washington Sundar
nicholas pooran,N Pooran
bhuvneshwar kumar,B Kumar
priyam garg,PK Garg
rahul tripathi,RA Tripathi
vishnu vinod,Vishnu Vinod
kartik tyagi,Kartik Tyagi
shreyas gopal,S Gopal
jagadeesha suchith,J Suchith
aiden markram,AK Markram
marco jansen,M Jansen
romario shepherd,R Shepherd
glenn phillips,GD Phillips
fazalhaq farooqi,Fazalhaq Farooqi
sean abbott,SA Abbott
shashank singh,Simarjeet Singh
saurabh dubey,SB Dubey
ajinkya rahane,AM Rahane
bhagath varma,Tilak Varma
kyle jamieson,KA Jamieson
shaik rasheed,SK Rasheed
ben stokes,BA Stokes
philip salt,PD Salt
ishant sharma,I Sharma
rilee rossouw,RR Rossouw
mukesh kumar,Mukesh Kumar
shivam mavi,Shivam Mavi
srikar bharat,KS Bharat
urvil patel,Urvil Patel
mohit sharma,MM Sharma
joshua little,J Little
odean smith,OF Smith
kulwant khejroliya,K Khejroliya
shakib al hasan,Shakib Al Hasan
vaibhav arora,VG Arora
n jagadeesan,N Jagadeesan
david wiese,D Wiese
mandeep singh,Mandeep Singh
litton das,Liton Das
suyash sharma,Sandeep Sharma
amit mishra,A Mishra
nicholas pooran,N Pooran
romario shepherd,R Shepherd
daniel sams,DR Sams
swapnil singh,Simarjeet Singh
prerak mankad,PN Mankad
yash thakur,Yash Thakur
naveen-ul-haq,naveen-ul-haq
jaydev unadkat,JD Unadkat
jhye richardson,JA Richardson
raghav goyal,R Goyal
cameron green,CJ Green
vishnu vinod,Vishnu Vinod
duan jansen,D Jansen
shams mulani,SZ Mulani
harpreet singh bhatia,R Bhatia
shivam singh,Simarjeet Singh
vidhwath kaverappa,V Kaverappa
mohit rathee,Mohit Rathee
sam curran,SM Curran
sikandar raza,Sikandar Raza
jason holder,JO Holder
adam zampa,A Zampa
donovan ferreira,D Ferreira
kunal singh rathore,KS Rathore
murugan ashwin,M Ashwin
