name,team,year,price
ishank jaggi,kolkata-knight-riders,2018,2000000
krunal pandya,mumbai-indians,2018,88000000
ishan kishan,mumbai-indians,2018,62000000
kieron pollard,mumbai-indians,2018,54000000
pat cummins,mumbai-indians,2018,54000000
evin lewis,mumbai-indians,2018,38000000
suryakumar yadav,mumbai-indians,2018,32000000
ben cutting,mumbai-indians,2018,22000000
mustafizur rahman,mumbai-indians,2018,22000000
rahul chahar,mumbai-indians,2018,19000000
pradeep sangwan,mumbai-indians,2018,15000000
jason behrendorff,mumbai-indians,2018,15000000
jean-paul duminy,mumbai-indians,2018,10000000
tajinder dhillon,mumbai-indians,2018,5500000
akila dananjaya,mumbai-indians,2018,5000000
md nidheesh,mumbai-indians,2018,2000000
siddhesh lad,mumbai-indians,2018,2000000
mayank markande,mumbai-indians,2018,2000000
sharad lumba,mumbai-indians,2018,2000000
anukul roy,mumbai-indians,2018,2000000
mohsin khan,mumbai-indians,2018,2000000
ben stokes,rajasthan-royals,2018,125000000
jaydev unadkat,rajasthan-royals,2018,115000000
sanju samson,rajasthan-royals,2018,80000000
krishnappa gowtham,rajasthan-royals,2018,62000000
jos buttler,rajasthan-royals,2018,44000000
ajinkya rahane,rajasthan-royals,2018,40000000
d arcy short,rajasthan-royals,2018,40000000
rahul tripathi,rajasthan-royals,2018,34000000
dhawal kulkarni,rajasthan-royals,2018,7500000
zahir khan,rajasthan-royals,2018,6000000
ben laughlin,rajasthan-royals,2018,5000000
stuart binny,rajasthan-royals,2018,5000000
dushmantha chameera,rajasthan-royals,2018,5000000
anureet singh,rajasthan-royals,2018,3000000
aryaman birla,rajasthan-royals,2018,3000000
sudhesan midhun,rajasthan-royals,2018,2000000
shreyas gopal,rajasthan-royals,2018,2000000
prashant chopra,rajasthan-royals,2018,2000000
jatin saxena,rajasthan-royals,2018,2000000
ankit sharma,rajasthan-royals,2018,2000000
mahipal lomror,rajasthan-royals,2018,2000000
chris woakes,royal-challengers-bengaluru,2018,74000000
yuzvendra chahal,royal-challengers-bengaluru,2018,60000000
umesh yadav,royal-challengers-bengaluru,2018,42000000
washington sundar,royal-challengers-bengaluru,2018,32000000
navdeep saini,royal-challengers-bengaluru,2018,30000000
quinton de kock,royal-challengers-bengaluru,2018,28000000
nathan coulter-nile,royal-challengers-bengaluru,2018,22000000
colin de grandhomme,royal-challengers-bengaluru,2018,22000000
murugan ashwin,royal-challengers-bengaluru,2018,22000000
parthiv patel,royal-challengers-bengaluru,2018,17000000
moeen ali,royal-challengers-bengaluru,2018,17000000
mandeep singh,royal-challengers-bengaluru,2018,14000000
manan vohra,royal-challengers-bengaluru,2018,11000000
pawan negi,royal-challengers-bengaluru,2018,10000000
tim southee,royal-challengers-bengaluru,2018,10000000
kulwant khejroliya,royal-challengers-bengaluru,2018,8500000
aniket choudhary,royal-challengers-bengaluru,2018,3000000
pavan deshpande,royal-challengers-bengaluru,2018,2000000
aniruddha joshi,royal-challengers-bengaluru,2018,2000000
rashid khan,sunrisers-hyderabad,2018,90000000
wriddhiman saha,sunrisers-hyderabad,2018,50000000
siddarth kaul,sunrisers-hyderabad,2018,38000000
khaleel ahmed,sunrisers-hyderabad,2018,30000000
sandeep sharma,sunrisers-hyderabad,2018,30000000
carlos brathwaite,sunrisers-hyderabad,2018,20000000
shakib al hasan,sunrisers-hyderabad,2018,20000000
