season,player,team,runs,strike_rate,fours,sixes,boundary_pct,dot_pct,impact_score_pos,phase,adj_price,ROI_z
2018,Shakib Al Hasan,Sunrisers Hyderabad,37,119.35,5,1,19.35,48.39,0.37599596,bat_pp,2984692.326,0.164181115
2017,RA Tripathi,Lucknow Super Giants,290,162.01,35,12,26.26,34.64,1.185514284,bat_pp,1559800.21,1
2023,MA Agarwal,Sunrisers Hyderabad,148,128.7,21,2,20,40,0.616326043,bat_pp,97604605.91,0.006446663
2025,F du Plessis,Delhi Capitals,142,135.24,13,7,19.05,40,0.563243089,bat_pp,20990000,0.03349499
2022,DA Warner,Delhi Capitals,222,154.17,32,6,26.39,35.42,1.061530536,bat_pp,77736153.18,0.016123517
2022,MS Wade,Gujarat Titans,94,118.99,14,2,20.25,49.37,0.517923342,bat_pp,29850682.82,0.020994096
2020,AJ Finch,Royal Challengers Bengaluru,185,119.35,21,5,16.77,41.94,0.740802815,bat_pp,61132383.19,0.014096743
2024,A Raghuvanshi,Kolkata Knight Riders,74,160.87,6,4,21.74,21.74,0.304173849,bat_mid,2217593.5,0.336271646
2023,Vivrant Sharma,Sunrisers Hyderabad,40,190.48,4,2,28.57,19.05,0.355248074,bat_mid,30760239.44,0.02831342
2022,Lalit Yadav,Delhi Capitals,113,121.51,7,5,12.9,35.48,0.268555557,bat_mid,8084559.93,0.081438183
2017,P Negi,Royal Challengers Bengaluru,61,108.93,5,2,12.5,35.71,0.156867315,bat_mid,15598002.1,0.024655499
2014,Yuvraj Singh,Royal Challengers Bengaluru,240,125.65,17,14,16.23,40.31,0.460903718,bat_mid,271182573.7,0.004166763
2014,AJ Finch,Sunrisers Hyderabad,98,125.64,7,3,12.82,29.49,0.261965169,bat_mid,77480735.35,0.008288962
2016,Yuvraj Singh,Sunrisers Hyderabad,182,127.27,16,10,18.18,44.76,0.385172849,bat_mid,114547048,0.008243698
2013,MC Henriques,Royal Challengers Bengaluru,68,93.15,5,1,8.22,39.73,0.148451686,bat_mid,36939715.39,0.009852397
2018,SW Billings,Chennai Super Kings,41,113.89,2,2,11.11,38.89,0.108781558,bat_mid,14923461.63,0.017870472
2025,M Shahrukh Khan,Gujarat Titans,113,188.33,9,8,28.33,25,0.387520996,bat_mid,3148500,0.301746233
2018,CA Lynn,Kolkata Knight Riders,175,129.63,14,6,14.81,31.85,0.370789487,bat_mid,143265231.6,0.006345077
2016,MP Stoinis,Punjab Kings,58,131.82,3,2,11.36,25,0.231140114,bat_mid,9000125.199,0.062961793
2025,LS Livingstone,Royal Challengers Bengaluru,71,116.39,2,4,9.84,32.79,0.139341241,bat_mid,91831250,0.00371997
2020,MP Stoinis,Delhi Capitals,178,143.55,12,9,16.94,26.61,0.48819166,bat_mid,66689872.57,0.017946542
2014,KK Nair,Rajasthan Royals,147,148.48,16,4,20.2,28.28,0.414031099,bat_mid,14527637.88,0.069869603
2022,Q de Kock,Lucknow Super Giants,177,147.5,16,6,18.33,25,0.458263366,bat_mid,83955045.43,0.013381927
2017,BA Stokes,Lucknow Super Giants,247,147.02,17,12,17.26,27.38,0.610169266,bat_mid,226171030.4,0.006613992
2015,KD Karthik,Royal Challengers Bengaluru,92,115,10,2,15,37.5,0.210844718,bat_mid,183281004.1,0.002820302
2015,Yuvraj Singh,Delhi Capitals,176,111.39,14,7,13.29,41.77,0.350862805,bat_mid,279285339.6,0.003079921
2018,KL Rahul,Punjab Kings,156,127.87,9,6,12.3,26.23,0.35422906,bat_mid,164158077.9,0.005290202
2016,CH Morris,Delhi Capitals,70,162.79,5,5,23.26,32.56,0.302375023,bat_mid,114547048,0.00647161
2025,Sameer Rizvi,Delhi Capitals,75,150,6,4,20,26,0.249510094,bat_mid,9970250,0.061352518
2018,Yuvraj Singh,Punjab Kings,50,102.04,3,2,10.2,44.9,0.077449574,bat_mid,29846923.26,0.00636165
2025,MP Stoinis,Punjab Kings,45,140.63,2,4,18.75,40.63,0.13075221,bat_mid,115445000,0.00277667
2018,CH Gayle,Punjab Kings,104,144.44,2,10,16.67,34.72,0.281829733,bat_mid,29846923.26,0.023149284
2018,AJ Finch,Punjab Kings,94,140.3,3,6,13.43,22.39,0.300136799,bat_mid,92525462.11,0.007952585
2025,AK Markram,Lucknow Super Giants,146,146,6,9,15,25,0.33766946,bat_mid,20990000,0.039439342
2023,PD Salt,Delhi Capitals,66,160.98,6,3,21.95,21.95,0.313205642,bat_mid,23661722.65,0.032451407
2018,V Shankar,Delhi Capitals,100,119.05,7,3,11.9,29.76,0.243399286,bat_mid,47755077.22,0.012495397
2022,KD Karthik,Royal Challengers Bengaluru,88,129.41,8,3,16.18,33.82,0.250000662,bat_mid,68407814.79,0.008959541
2015,RS Bopara,Sunrisers Hyderabad,86,119.44,3,4,9.72,31.94,0.207306832,bat_mid,17455333.73,0.029116273
2025,PD Salt,Royal Challengers Bengaluru,66,200,5,5,30.3,24.24,0.341530536,bat_mid,120692500,0.006937445
2025,A Raghuvanshi,Kolkata Knight Riders,161,127.78,14,3,13.49,23.02,0.339773581,bat_mid,31485000,0.026456734
2021,VR Iyer,Kolkata Knight Riders,128,130.61,10,6,16.33,32.65,0.366953008,bat_mid,2652233.169,0.339194708
2014,DR Smith,Chennai Super Kings,189,154.92,10,15,20.49,33.61,0.46932529,bat_mid,87165827.27,0.013200124
2017,MK Tiwary,Lucknow Super Giants,122,120.79,10,3,12.87,28.71,0.316249018,bat_mid,7799001.048,0.099412392
2025,V Shankar,Chennai Super Kings,63,121.15,4,1,9.62,25,0.163274519,bat_mid,12594000,0.031783743
2025,SM Curran,Chennai Super Kings,78,177.27,8,3,25,20.45,0.327512724,bat_mid,25188000,0.031877541
2016,KP Pietersen,Lucknow Super Giants,42,113.51,1,2,8.11,32.43,0.141210904,bat_mid,57273524,0.006044559
2025,JC Buttler,Gujarat Titans,333,162.44,33,13,22.44,23.9,0.668881209,bat_mid,165296250,0.009920563
2014,PA Patel,Royal Challengers Bengaluru,48,114.29,5,0,11.9,23.81,0.185083954,bat_mid,27118257.37,0.016732364
2023,AM Rahane,Chennai Super Kings,150,144.23,8,6,13.46,21.15,0.388593741,bat_mid,5915430.661,0.161049637
2022,JM Sharma,Punjab Kings,157,150.96,14,8,21.15,37.5,0.388683049,bat_mid,2487556.902,0.383065372
2025,D Padikkal,Royal Challengers Bengaluru,141,145.36,12,7,19.59,29.9,0.32587838,bat_mid,20990000,0.03806216
2014,RG Sharma,Mumbai Indians,231,119.07,18,6,12.37,32.47,0.45746807,bat_mid,36803349.29,0.0304736
2018,DA Miller,Punjab Kings,46,109.52,1,1,4.76,23.81,0.148761492,bat_mid,44770384.89,0.008146105
2025,KK Nair,Delhi Capitals,83,184.44,10,4,31.11,24.44,0.349399028,bat_mid,5247500,0.16323736
2014,KL Rahul,Sunrisers Hyderabad,91,92.86,6,1,7.14,33.67,0.157884918,bat_mid,19370183.84,0.01998284
2022,Ishan Kishan,Mumbai Indians,126,124.75,7,5,11.88,24.75,0.331490803,bat_mid,189676213.7,0.004284587
2022,M Shahrukh Khan,Punjab Kings,68,87.18,1,5,7.69,51.28,0.083178851,bat_mid,2487556.902,0.081976658
2016,SW Billings,Delhi Capitals,78,144.44,4,3,12.96,18.52,0.311442891,bat_mid,4909159.2,0.155532668
2018,KH Pandya,Mumbai Indians,120,131.87,13,4,18.68,38.46,0.279878607,bat_mid,131326462.3,0.005224777
2018,RA Tripathi,Rajasthan Royals,107,122.99,8,2,11.49,29.89,0.257170308,bat_mid,50739769.54,0.012425751
2014,SA Yadav,Kolkata Knight Riders,62,134.78,4,2,13.04,28.26,0.222452814,bat_mid,13559128.69,0.040221331
2016,RR Pant,Delhi Capitals,118,131.11,10,4,15.56,33.33,0.315427422,bat_mid,31091341.6,0.024871977
2014,SPD Smith,Rajasthan Royals,71,104.41,3,2,7.35,33.82,0.141974706,bat_mid,77480735.35,0.004492288
