season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2024,N Thushara,Mumbai Indians,0,30,8.8,8,26.67,4,13.33,0.0170545494031911,0.2861570941439015,0.4102959494886415,0.1768556414740922,-0.1156261946585605,0.8123788939389567,middle,N Thushara,2024,53222244.0,1.5263897815713234,0.015176192737221523
2024,Naman Dhir,Mumbai Indians,0,22,13.36,0,0.0,6,27.27,0.0170545494031911,0.4309731048197101,0.0408499007619969,0.3007848601872054,-0.3670986615598234,0.5609064270376938,middle,Naman Dhir,2024,2217593.5,25.29347362524709,0.2514813944413467
2024,PJ Cummins,Sunrisers Hyderabad,8,156,7.81,51,32.69,25,16.03,0.3843537150470612,0.2547167760366536,0.4936879709859943,0.2008591486853839,0.4806917132999904,1.4086968018975077,middle,PJ Cummins,2024,227303333.75,0.6197431329568028,0.006161821408185614
2024,R Ravindra,Chennai Super Kings,0,12,3.5,5,41.67,0,0.0,0.0170545494031911,0.117840239630352,0.6180833784687566,0.0583494373531597,0.1050647584705,1.0330698470680173,middle,R Ravindra,2024,19958341.5,5.17613072743553,0.05146389113778647
2024,Rasikh Salam,Delhi Capitals,6,84,10.86,20,23.81,19,22.62,0.2925289236360937,0.3515783621246396,0.3706778130297662,0.2594454866566476,0.2168449423320291,1.1448500309295464,middle,Rasikh Salam,2024,2217593.5,51.62578402802616,0.5132914659668061
2024,S Gopal,Mumbai Indians,2,30,9.4,9,30.0,5,16.67,0.1088793408141586,0.3052118323907185,0.456424758722227,0.2065488689132456,0.0147671991426821,0.9427722877401994,middle,S Gopal,2024,2217593.5,42.51330497407209,0.422690270841969
2024,Sandeep Sharma,Rajasthan Royals,2,60,6.6,16,26.67,4,6.67,0.1088793408141586,0.2162897205722394,0.4102959494886415,0.1176469903529061,0.0898466215394575,1.0178517101369748,middle,Sandeep Sharma,2024,2217593.5,45.898930986989946,0.45635199573592017
2024,SH Johnson,Gujarat Titans,1,36,11.33,10,27.78,11,30.56,0.0629669451086748,0.3665045737513129,0.42567221923317,0.330033578233557,-0.1370582912147984,0.7909467973827189,middle,SH Johnson,2024,110879675.0,0.713337947087885,0.007092391669862485
2024,Simarjeet Singh,Chennai Super Kings,4,42,10.14,17,40.48,10,23.81,0.2007041322251261,0.3287126762284594,0.6015989091030007,0.270024810205328,0.1645607680447562,1.0925658566422736,middle,Simarjeet Singh,2024,2217593.5,49.26808527542463,0.4898499498365334
2024,Simarjeet Singh,Chennai Super Kings,4,42,10.14,17,40.48,10,23.81,0.2007041322251261,0.3287126762284594,0.6015989091030007,0.270024810205328,0.1645607680447562,1.0925658566422736,middle,Simarjeet Singh,2024,2217593.5,49.26808527542463,0.4898499498365334
